"","t","mic"
"190",1441979968.35,27927
"191",1441979968.35,27693
"192",1441979968.35,27867
"193",1441979968.35,28063
"194",1441979968.36,27839
"195",1441979968.36,27799
"196",1441979968.36,27951
"197",1441979968.36,27943
"198",1441979968.36,27903
"199",1441979968.36,28059
"200",1441979968.36,28007
"201",1441979968.36,28055
"202",1441979968.36,27775
"203",1441979968.36,27927
"204",1441979968.36,27823
"205",1441979968.36,27879
"206",1441979968.36,27763
"207",1441979968.36,27919
"208",1441979968.36,27759
"209",1441979968.36,28078
"210",1441979968.36,27815
"211",1441979968.36,27861
"212",1441979968.36,27791
"213",1441979968.36,27859
"214",1441979968.36,28079
"215",1441979968.36,27739
"216",1441979968.36,27846
"217",1441979968.36,27727
"218",1441979968.36,28231
"219",1441979968.36,28059
"220",1441979968.36,27639
"221",1441979968.36,27951
"222",1441979968.36,28119
"223",1441979968.36,27903
"224",1441979968.36,27798
"225",1441979968.36,27883
"226",1441979968.36,27983
"227",1441979968.37,27991
"228",1441979968.37,27855
"229",1441979968.37,27983
"230",1441979968.37,27951
"231",1441979968.37,27727
"232",1441979968.37,27559
"233",1441979968.37,27951
"234",1441979968.37,27903
"235",1441979968.37,27835
"236",1441979968.37,27839
"237",1441979968.37,27991
"238",1441979968.37,27839
"239",1441979968.37,27887
"240",1441979968.37,27815
"241",1441979968.37,27855
"242",1441979968.37,28087
"243",1441979968.37,27935
"244",1441979968.37,27883
"245",1441979968.37,27791
"246",1441979968.37,27903
"247",1441979968.37,28051
"248",1441979968.37,27847
"249",1441979968.37,27895
"250",1441979968.37,27995
"251",1441979968.37,27855
"252",1441979968.37,27919
"253",1441979968.37,27959
"254",1441979968.37,27991
"255",1441979968.37,28339
"256",1441979968.37,27791
"257",1441979968.37,27871
"258",1441979968.37,27851
"259",1441979968.37,27835
"260",1441979968.37,27935
"261",1441979968.38,27967
"262",1441979968.38,27643
"263",1441979968.38,27647
"264",1441979968.38,27903
"265",1441979968.38,27871
"266",1441979968.38,27783
"267",1441979968.38,27747
"268",1441979968.38,27767
"269",1441979968.38,27711
"270",1441979968.38,27703
"271",1441979968.38,27643
"272",1441979968.38,27883
"273",1441979968.38,27935
"274",1441979968.38,27823
"275",1441979968.38,27853
"276",1441979968.38,27789
"277",1441979968.38,27867
"278",1441979968.38,28175
"279",1441979968.38,27999
"280",1441979968.38,27455
"281",1441979968.38,27899
"282",1441979968.38,28007
"283",1441979968.38,28159
"284",1441979968.38,27775
"285",1441979968.38,27693
"286",1441979968.38,27867
"287",1441979968.38,27879
"288",1441979968.38,28031
"289",1441979968.38,27771
"290",1441979968.38,28071
"291",1441979968.38,27611
"292",1441979968.38,27599
"293",1441979968.38,27959
"294",1441979968.39,27807
"295",1441979968.39,28045
"296",1441979968.39,27470
"297",1441979968.39,27835
"298",1441979968.39,27771
"299",1441979968.39,27755
"300",1441979968.39,27919
"301",1441979968.39,27615
"302",1441979968.39,27701
"303",1441979968.39,27899
"304",1441979968.39,27807
"305",1441979968.39,27835
"306",1441979968.39,27839
"307",1441979968.39,27767
"308",1441979968.39,27975
"309",1441979968.39,27823
"310",1441979968.39,27895
"311",1441979968.39,28219
"312",1441979968.39,27951
"313",1441979968.39,27894
"314",1441979968.39,27941
"315",1441979968.39,27739
"316",1441979968.39,27943
"317",1441979968.39,27839
"318",1441979968.39,27691
"319",1441979968.39,27671
"320",1441979968.39,27771
"321",1441979968.39,27974
"322",1441979968.39,27645
"323",1441979968.39,27791
"324",1441979968.39,27639
"325",1441979968.39,27751
"326",1441979968.39,27885
"327",1441979968.4,27743
"328",1441979968.4,27839
"329",1441979968.4,27615
"330",1441979968.4,27647
"331",1441979968.4,27851
"332",1441979968.4,27757
"333",1441979968.4,27935
"334",1441979968.4,27759
"335",1441979968.4,27827
"336",1441979968.4,27771
"337",1441979968.4,27919
"338",1441979968.4,28151
"339",1441979968.4,27803
"340",1441979968.4,27807
"341",1441979968.4,27979
"342",1441979968.4,27991
"343",1441979968.4,27887
"344",1441979968.4,27915
"345",1441979968.4,27667
"346",1441979968.4,27851
"347",1441979968.4,27821
"348",1441979968.4,27773
"349",1441979968.4,27993
"350",1441979968.4,27935
"351",1441979968.4,27867
"352",1441979968.4,27563
"353",1441979968.4,27887
"354",1441979968.4,27839
"355",1441979968.4,27811
"356",1441979968.4,27919
"357",1441979968.4,27979
"358",1441979968.4,27787
"359",1441979968.4,27879
"360",1441979968.4,27807
"361",1441979968.41,27887
"362",1441979968.41,28029
"363",1441979968.41,27997
"364",1441979968.41,27807
"365",1441979968.41,27861
"366",1441979968.41,27775
"367",1441979968.41,27949
"368",1441979968.41,27903
"369",1441979968.41,27791
"370",1441979968.41,27611
"371",1441979968.41,27927
"372",1441979968.41,27835
"373",1441979968.41,27847
"374",1441979968.41,27767
"375",1441979968.41,27967
"376",1441979968.41,27879
"377",1441979968.41,27807
"378",1441979968.41,27829
"379",1441979968.41,27998
"380",1441979968.41,27923
"381",1441979968.41,27871
"382",1441979968.41,27975
"383",1441979968.41,27883
"384",1441979968.41,27767
"385",1441979968.41,27999
"386",1441979968.41,27967
"387",1441979968.41,27926
"388",1441979968.41,27791
"389",1441979968.41,27767
"390",1441979968.41,27903
"391",1441979968.41,27895
"392",1441979968.41,27711
"393",1441979968.41,27807
"394",1441979968.42,27759
"395",1441979968.42,27815
"396",1441979968.42,27815
"397",1441979968.42,27863
"398",1441979968.42,27687
"399",1441979968.42,27927
"400",1441979968.42,28159
"401",1441979968.42,27967
"402",1441979968.42,27855
"403",1441979968.42,27839
"404",1441979968.42,27679
"405",1441979968.42,27551
"406",1441979968.42,27707
"407",1441979968.42,27867
"408",1441979968.42,27947
"409",1441979968.42,27879
"410",1441979968.42,27927
"411",1441979968.42,27831
"412",1441979968.42,28031
"413",1441979968.42,27891
"414",1441979968.42,27935
"415",1441979968.42,27983
"416",1441979968.42,27987
"417",1441979968.42,27931
"418",1441979968.42,27871
"419",1441979968.42,27647
"420",1441979968.42,27705
"421",1441979968.42,28159
"422",1441979968.42,27895
"423",1441979968.42,27967
"424",1441979968.42,27775
"425",1441979968.42,27707
"426",1441979968.42,27995
"427",1441979968.43,27867
"428",1441979968.43,27967
"429",1441979968.43,27691
"430",1441979968.43,27919
"431",1441979968.43,28005
"432",1441979968.43,27703
"433",1441979968.43,27775
"434",1441979968.43,27807
"435",1441979968.43,27819
"436",1441979968.43,28007
"437",1441979968.43,27887
"438",1441979968.43,27787
"439",1441979968.43,27875
"440",1441979968.43,28111
"441",1441979968.43,28079
"442",1441979968.43,28015
"443",1441979968.43,27807
"444",1441979968.43,27693
"445",1441979968.43,27871
"446",1441979968.43,27877
"447",1441979968.43,27727
"448",1441979968.43,27919
"449",1441979968.43,27703
"450",1441979968.43,27831
"451",1441979968.43,27895
"452",1441979968.43,27807
"453",1441979968.43,27875
"454",1441979968.43,27987
"455",1441979968.43,27775
"456",1441979968.43,27895
"457",1441979968.43,27823
"458",1441979968.43,27647
"459",1441979968.43,27743
"460",1441979968.43,28211
"461",1441979968.44,27775
"462",1441979968.44,27775
"463",1441979968.44,28011
"464",1441979968.44,27559
"465",1441979968.44,27851
"466",1441979968.44,27735
"467",1441979968.44,27807
"468",1441979968.44,27995
"469",1441979968.44,27815
"470",1441979968.44,27771
"471",1441979968.44,27871
"472",1441979968.44,27967
"473",1441979968.44,27991
"474",1441979968.44,28103
"475",1441979968.44,27950
"476",1441979968.44,27957
"477",1441979968.44,27959
"478",1441979968.44,27831
"479",1441979968.44,27871
"480",1441979968.44,27823
"481",1441979968.44,27823
"482",1441979968.44,27759
"483",1441979968.44,27939
"484",1441979968.44,27863
"485",1441979968.44,27757
"486",1441979968.44,27957
"487",1441979968.44,27967
"488",1441979968.44,27767
"489",1441979968.44,27943
"490",1441979968.44,28095
"491",1441979968.44,27847
"492",1441979968.44,27935
"493",1441979968.44,27803
"494",1441979968.45,27911
"495",1441979968.45,27847
"496",1441979968.45,27893
"497",1441979968.45,28027
"498",1441979968.45,27899
"499",1441979968.45,27767
"500",1441979968.45,27755
"501",1441979968.45,27895
"502",1441979968.45,27839
"503",1441979968.45,27903
"504",1441979968.45,27965
"505",1441979968.45,27979
"506",1441979968.45,27803
"507",1441979968.45,27935
"508",1441979968.45,27903
"509",1441979968.45,27831
"510",1441979968.45,27999
"511",1441979968.45,27847
"512",1441979968.45,28063
"513",1441979968.45,27919
"514",1441979968.45,27863
"515",1441979968.45,27771
"516",1441979968.45,27839
"517",1441979968.45,27935
"518",1441979968.45,27847
"519",1441979968.45,28006
"520",1441979968.45,28671
"521",1441979968.45,27519
"522",1441979968.45,27967
"523",1441979968.45,27859
"524",1441979968.45,27607
"525",1441979968.45,27823
"526",1441979968.45,27895
"527",1441979968.46,27903
"528",1441979968.46,27799
"529",1441979968.46,27863
"530",1441979968.46,27987
"531",1441979968.46,27797
"532",1441979968.46,27847
"533",1441979968.46,27837
"534",1441979968.46,27807
"535",1441979968.46,28083
"536",1441979968.46,27631
"537",1441979968.46,28059
"538",1441979968.46,27519
"539",1441979968.46,27863
"540",1441979968.46,27951
"541",1441979968.46,27815
"542",1441979968.46,27967
"543",1441979968.46,27791
"544",1441979968.46,27839
"545",1441979968.46,27987
"546",1441979968.46,27823
"547",1441979968.46,27967
"548",1441979968.46,28063
"549",1441979968.46,27903
"550",1441979968.46,27995
"551",1441979968.46,27911
"552",1441979968.46,27935
"553",1441979968.46,27923
"554",1441979968.46,27783
"555",1441979968.46,27787
"556",1441979968.46,27771
"557",1441979968.46,27919
"558",1441979968.46,27725
"559",1441979968.46,27831
"560",1441979968.46,27901
"561",1441979968.47,27871
"562",1441979968.47,27923
"563",1441979968.47,27799
"564",1441979968.47,27847
"565",1441979968.47,27783
"566",1441979968.47,27915
"567",1441979968.47,27871
"568",1441979968.47,27791
"569",1441979968.47,28007
"570",1441979968.47,27667
"571",1441979968.47,27871
"572",1441979968.47,27879
"573",1441979968.47,27951
"574",1441979968.47,27899
"575",1441979968.47,27859
"576",1441979968.47,27903
"577",1441979968.47,27855
"578",1441979968.47,28135
"579",1441979968.47,27807
"580",1441979968.47,28159
"581",1441979968.47,27307
"582",1441979968.47,27879
"583",1441979968.47,28059
"584",1441979968.47,27751
"585",1441979968.47,27679
"586",1441979968.47,27967
"587",1441979968.47,27751
"588",1441979968.47,27967
"589",1441979968.47,27805
"590",1441979968.47,27871
"591",1441979968.47,27871
"592",1441979968.47,27891
"593",1441979968.47,27923
"594",1441979968.48,27871
"595",1441979968.48,27771
"596",1441979968.48,27847
"597",1441979968.48,28031
"598",1441979968.48,27799
"599",1441979968.48,27859
"600",1441979968.48,27847
"601",1441979968.48,28054
"602",1441979968.48,27947
"603",1441979968.48,27635
"604",1441979968.48,27695
"605",1441979968.48,27631
"606",1441979968.48,27895
"607",1441979968.48,27899
"608",1441979968.48,27931
"609",1441979968.48,27871
"610",1441979968.48,27951
"611",1441979968.48,27935
"612",1441979968.48,27859
"613",1441979968.48,27879
"614",1441979968.48,27895
"615",1441979968.48,27903
"616",1441979968.48,27597
"617",1441979968.48,27823
"618",1441979968.48,27743
"619",1441979968.48,28031
"620",1441979968.48,27951
"621",1441979968.48,27869
"622",1441979968.48,27837
"623",1441979968.48,27883
"624",1441979968.48,27919
"625",1441979968.48,28095
"626",1441979968.48,27835
"627",1441979968.49,27919
"628",1441979968.49,27871
"629",1441979968.49,27837
"630",1441979968.49,27867
"631",1441979968.49,27839
"632",1441979968.49,27967
"633",1441979968.49,27821
"634",1441979968.49,27805
"635",1441979968.49,27791
"636",1441979968.49,27835
"637",1441979968.49,27951
"638",1441979968.49,28439
"639",1441979968.49,27935
"640",1441979968.49,28075
"641",1441979968.49,27315
"642",1441979968.49,27799
"643",1441979968.49,28007
"644",1441979968.49,27837
"645",1441979968.49,27623
"646",1441979968.49,27839
"647",1441979968.49,27687
"648",1441979968.49,27911
"649",1441979968.49,27847
"650",1441979968.49,27925
"651",1441979968.49,28043
"652",1441979968.49,27703
"653",1441979968.49,28039
"654",1441979968.49,27883
"655",1441979968.49,27951
"656",1441979968.49,28079
"657",1441979968.49,27955
"658",1441979968.49,28007
"659",1441979968.49,27807
"660",1441979968.49,27929
"661",1441979968.5,27927
"662",1441979968.5,27839
"663",1441979968.5,27787
"664",1441979968.5,27919
"665",1441979968.5,27887
"666",1441979968.5,27975
"667",1441979968.5,27839
"668",1441979968.5,28007
"669",1441979968.5,27799
"670",1441979968.5,27863
"671",1441979968.5,27879
"672",1441979968.5,27991
"673",1441979968.5,27935
"674",1441979968.5,27997
"675",1441979968.5,27931
"676",1441979968.5,27991
"677",1441979968.5,27867
"678",1441979968.5,27863
"679",1441979968.5,27807
"680",1441979968.5,27807
"681",1441979968.5,27867
"682",1441979968.5,27795
"683",1441979968.5,28007
"684",1441979968.5,27903
"685",1441979968.5,27627
"686",1441979968.5,28067
"687",1441979968.5,27863
"688",1441979968.5,27903
"689",1441979968.5,27819
"690",1441979968.5,28087
"691",1441979968.5,27815
"692",1441979968.5,27813
"693",1441979968.5,27807
"694",1441979968.51,27919
"695",1441979968.51,27919
"696",1441979968.51,27791
"697",1441979968.51,28087
"698",1441979968.51,28459
"699",1441979968.51,27883
"700",1441979968.51,28127
"701",1441979968.51,27647
"702",1441979968.51,28087
"703",1441979968.51,27803
"704",1441979968.51,27679
"705",1441979968.51,27415
"706",1441979968.51,27851
"707",1441979968.51,27915
"708",1441979968.51,27797
"709",1441979968.51,27821
"710",1441979968.51,27827
"711",1441979968.51,27839
"712",1441979968.51,28007
"713",1441979968.51,27943
"714",1441979968.51,27773
"715",1441979968.51,28019
"716",1441979968.51,27919
"717",1441979968.51,27710
"718",1441979968.51,27903
"719",1441979968.51,27947
"720",1441979968.51,27863
"721",1441979968.51,27791
"722",1441979968.51,28039
"723",1441979968.51,27631
"724",1441979968.51,27743
"725",1441979968.51,27983
"726",1441979968.51,27947
"727",1441979968.52,27871
"728",1441979968.52,27967
"729",1441979968.52,27983
"730",1441979968.52,27959
"731",1441979968.52,27967
"732",1441979968.52,27931
"733",1441979968.52,28111
"734",1441979968.52,27983
"735",1441979968.52,27979
"736",1441979968.52,27951
"737",1441979968.52,27877
"738",1441979968.52,28175
"739",1441979968.52,27703
"740",1441979968.52,27851
"741",1441979968.52,27885
"742",1441979968.52,27887
"743",1441979968.52,28115
"744",1441979968.52,27879
"745",1441979968.52,27659
"746",1441979968.52,27635
"747",1441979968.52,27871
"748",1441979968.52,27885
"749",1441979968.52,27783
"750",1441979968.52,28085
"751",1441979968.52,27707
"752",1441979968.52,27711
"753",1441979968.52,27639
"754",1441979968.52,27799
"755",1441979968.52,27867
"756",1441979968.52,27751
"757",1441979968.52,27927
"758",1441979968.52,28151
"759",1441979968.52,27773
"760",1441979968.52,27979
"761",1441979968.53,28071
"762",1441979968.53,27959
"763",1441979968.53,27887
"764",1441979968.53,27559
"765",1441979968.53,27733
"766",1441979968.53,28027
"767",1441979968.53,27903
"768",1441979968.53,28015
"769",1441979968.53,28095
"770",1441979968.53,27823
"771",1441979968.53,27991
"772",1441979968.53,27967
"773",1441979968.53,27629
"774",1441979968.53,27673
"775",1441979968.53,27819
"776",1441979968.53,27771
"777",1441979968.53,27855
"778",1441979968.53,27947
"779",1441979968.53,27947
"780",1441979968.53,27703
"781",1441979968.53,27723
"782",1441979968.53,27999
"783",1441979968.53,28063
"784",1441979968.53,28063
"785",1441979968.53,27903
"786",1441979968.53,27899
"787",1441979968.53,27791
"788",1441979968.53,27895
"789",1441979968.53,28047
"790",1441979968.53,27805
"791",1441979968.53,27923
"792",1441979968.53,27789
"793",1441979968.53,27831
"794",1441979968.54,27991
"795",1441979968.54,27975
"796",1441979968.54,27871
"797",1441979968.54,27703
"798",1441979968.54,27887
"799",1441979968.54,27711
"800",1441979968.54,27999
"801",1441979968.54,28055
"802",1441979968.54,27979
"803",1441979968.54,27783
"804",1441979968.54,27815
"805",1441979968.54,27771
"806",1441979968.54,28133
"807",1441979968.54,27829
"808",1441979968.54,28013
"809",1441979968.54,27839
"810",1441979968.54,27847
"811",1441979968.54,27999
"812",1441979968.54,28239
"813",1441979968.54,27663
"814",1441979968.54,27903
"815",1441979968.54,27879
"816",1441979968.54,27963
"817",1441979968.54,28251
"818",1441979968.54,28231
"819",1441979968.54,27791
"820",1441979968.54,27933
"821",1441979968.54,28251
"822",1441979968.54,28047
"823",1441979968.54,27815
"824",1441979968.54,27439
"825",1441979968.54,27599
"826",1441979968.54,27735
"827",1441979968.55,27839
"828",1441979968.55,27867
"829",1441979968.55,27775
"830",1441979968.55,27735
"831",1441979968.55,27783
"832",1441979968.55,27951
"833",1441979968.55,27959
"834",1441979968.55,27903
"835",1441979968.55,27879
"836",1441979968.55,27823
"837",1441979968.55,27855
"838",1441979968.55,27887
"839",1441979968.55,27903
"840",1441979968.55,28247
"841",1441979968.55,27687
"842",1441979968.55,27883
"843",1441979968.55,27839
"844",1441979968.55,27903
"845",1441979968.55,27965
"846",1441979968.55,27919
"847",1441979968.55,27725
"848",1441979968.55,27983
"849",1441979968.55,27743
"850",1441979968.55,27949
"851",1441979968.55,27899
"852",1441979968.55,27983
"853",1441979968.55,27943
"854",1441979968.55,27959
"855",1441979968.55,27871
"856",1441979968.55,27919
"857",1441979968.55,27851
"858",1441979968.55,28079
"859",1441979968.55,27847
"860",1441979968.55,27815
"861",1441979968.56,27819
"862",1441979968.56,27831
"863",1441979968.56,28029
"864",1441979968.56,27935
"865",1441979968.56,27823
"866",1441979968.56,27903
"867",1441979968.56,27855
"868",1441979968.56,28093
"869",1441979968.56,27895
"870",1441979968.56,27775
"871",1441979968.56,27695
"872",1441979968.56,28014
"873",1441979968.56,27935
"874",1441979968.56,27999
"875",1441979968.56,27803
"876",1441979968.56,27967
"877",1441979968.56,27790
"878",1441979968.56,28143
"879",1441979968.56,27789
"880",1441979968.56,28111
"881",1441979968.56,28171
"882",1441979968.56,27759
"883",1441979968.56,27847
"884",1441979968.56,27903
"885",1441979968.56,27791
"886",1441979968.56,28109
"887",1441979968.56,27823
"888",1441979968.56,27867
"889",1441979968.56,27883
"890",1441979968.56,28063
"891",1441979968.56,27885
"892",1441979968.56,27835
"893",1441979968.56,28043
"894",1441979968.57,27831
"895",1441979968.57,27831
"896",1441979968.57,27865
"897",1441979968.57,27911
"898",1441979968.57,27927
"899",1441979968.57,27707
"900",1441979968.57,27903
"901",1441979968.57,28157
"902",1441979968.57,27687
"903",1441979968.57,27999
"904",1441979968.57,27719
"905",1441979968.57,27877
"906",1441979968.57,27931
"907",1441979968.57,27963
"908",1441979968.57,28083
"909",1441979968.57,27903
"910",1441979968.57,27871
"911",1441979968.57,27895
"912",1441979968.57,28043
"913",1441979968.57,27935
"914",1441979968.57,27803
"915",1441979968.57,27919
"916",1441979968.57,27947
"917",1441979968.57,27765
"918",1441979968.57,27919
"919",1441979968.57,27947
"920",1441979968.57,27743
"921",1441979968.57,27995
"922",1441979968.57,27647
"923",1441979968.57,28123
"924",1441979968.57,27695
"925",1441979968.57,27951
"926",1441979968.57,27731
"927",1441979968.58,27751
"928",1441979968.58,27775
"929",1441979968.58,27807
"930",1441979968.58,27853
"931",1441979968.58,27947
"932",1441979968.58,27647
"933",1441979968.58,27895
"934",1441979968.58,28095
"935",1441979968.58,27831
"936",1441979968.58,27939
"937",1441979968.58,28019
"938",1441979968.58,28107
"939",1441979968.58,27893
"940",1441979968.58,28123
"941",1441979968.58,28207
"942",1441979968.58,28223
"943",1441979968.58,27765
"944",1441979968.58,28287
"945",1441979968.58,27671
"946",1441979968.58,27863
"947",1441979968.58,28031
"948",1441979968.58,27903
"949",1441979968.58,28007
"950",1441979968.58,27915
"951",1441979968.58,27998
"952",1441979968.58,27835
"953",1441979968.58,27903
"954",1441979968.58,27963
"955",1441979968.58,27995
"956",1441979968.58,27787
"957",1441979968.58,28043
"958",1441979968.58,27707
"959",1441979968.58,27943
"960",1441979968.58,27919
"961",1441979968.59,27959
"962",1441979968.59,27815
"963",1441979968.59,28011
"964",1441979968.59,27839
"965",1441979968.59,28005
"966",1441979968.59,27927
"967",1441979968.59,27917
"968",1441979968.59,28059
"969",1441979968.59,27799
"970",1441979968.59,28063
"971",1441979968.59,27879
"972",1441979968.59,28027
"973",1441979968.59,27959
"974",1441979968.59,27855
"975",1441979968.59,28075
"976",1441979968.59,28135
"977",1441979968.59,27853
"978",1441979968.59,27887
"979",1441979968.59,28007
"980",1441979968.59,27859
"981",1441979968.59,27927
"982",1441979968.59,27991
"983",1441979968.59,28191
"984",1441979968.59,27919
"985",1441979968.59,27823
"986",1441979968.59,27963
"987",1441979968.59,27959
"988",1441979968.59,27919
"989",1441979968.59,27823
"990",1441979968.59,28079
"991",1441979968.59,27767
"992",1441979968.59,27830
"993",1441979968.59,27983
"994",1441979968.6,27871
"995",1441979968.6,27854
"996",1441979968.6,28039
"997",1441979968.6,27899
"998",1441979968.6,27967
"999",1441979968.6,27875
"1000",1441979968.6,28189
"1001",1441979968.6,28299
"1002",1441979968.6,27931
"1003",1441979968.6,27869
"1004",1441979968.6,28221
"1005",1441979968.6,27839
"1006",1441979968.6,28063
"1007",1441979968.6,27935
"1008",1441979968.6,28013
"1009",1441979968.6,27479
"1010",1441979968.6,28191
"1011",1441979968.6,27823
"1012",1441979968.6,27989
"1013",1441979968.6,27919
"1014",1441979968.6,27775
"1015",1441979968.6,27835
"1016",1441979968.6,27983
"1017",1441979968.6,27847
"1018",1441979968.6,27867
"1019",1441979968.6,27695
"1020",1441979968.6,27915
"1021",1441979968.6,27647
"1022",1441979968.6,27839
"1023",1441979968.6,28051
"1024",1441979968.6,27623
"1025",1441979968.6,27943
"1026",1441979968.6,27899
"1027",1441979968.61,27791
"1028",1441979968.61,27919
"1029",1441979968.61,27771
"1030",1441979968.61,27895
"1031",1441979968.61,27999
"1032",1441979968.61,27887
"1033",1441979968.61,28015
"1034",1441979968.61,28119
"1035",1441979968.61,27727
"1036",1441979968.61,27943
"1037",1441979968.61,27887
"1038",1441979968.61,27917
"1039",1441979968.61,28079
"1040",1441979968.61,27919
"1041",1441979968.61,27823
"1042",1441979968.61,27727
"1043",1441979968.61,27903
"1044",1441979968.61,28119
"1045",1441979968.61,27771
"1046",1441979968.61,27983
"1047",1441979968.61,27685
"1048",1441979968.61,27823
"1049",1441979968.61,27967
"1050",1441979968.61,27987
"1051",1441979968.61,28123
"1052",1441979968.61,27755
"1053",1441979968.61,27963
"1054",1441979968.61,27991
"1055",1441979968.61,27871
"1056",1441979968.61,27883
"1057",1441979968.61,27895
"1058",1441979968.61,28199
"1059",1441979968.61,27931
"1060",1441979968.61,27923
"1061",1441979968.62,27963
"1062",1441979968.62,28023
"1063",1441979968.62,27679
"1064",1441979968.62,28091
"1065",1441979968.62,27675
"1066",1441979968.62,27883
"1067",1441979968.62,28095
"1068",1441979968.62,27919
"1069",1441979968.62,27765
"1070",1441979968.62,27963
